Sample no.,Animal,Timepoint,plus/minus,per_brdu
1,MK35,nec,plus,10
2,MK35,nec,minus,
3,MM34,nec,plus,42.5
4,MM34,nec,minus,
5,MG79,nec,plus,37.3
6,MG79,nec,minus,
7,ND44,nec,plus,2.65
8,ND44,nec,minus,
9,MT12,nec,plus,1.42
10,MT12,nec,minus,
15,ML80,nec,plus,2.99
16,ML80,nec,minus,
17,KT79,nec,plus,33.5
18,KT79,nec,minus,
23,JE42,nec,plus,
24,JE42,nec,minus,
25,ML09,nec,plus,18.8
26,ML09,nec,minus,
27,MG79,nec,plus,37.3
28,MG79,nec,minus,
29,IH37,nec,plus,16.2
30,IH37,nec,minus,
31,IK15,nec,plus,
32,IK15,nec,minus,
33,MN14,nec,plus,20.2
34,MN14,nec,minus,
37,HE08,nec,plus,
38,HE08,nec,minus,
11,MK35,21dpi,plus,34.5
12,MK35,21dpi,minus,
13,IH37,21dpi,plus,20.7
14,IH37,21dpi,minus,
35,MG79,21dpi,plus,20.1
36,MG79,21dpi,minus,
39,ML09,21dpi,plus,7.55
40,ML09,21dpi,minus,
41,MN14,21dpi,plus,29.7
42,MN14,21dpi,minus,
43,MM34,21dpi,plus,25.5
44,MM34,21dpi,minus,